txn_id,vendor_id,timestamp,amount,txn_type,invoice_no,is_injected,case_id,expected_class,predicted_class,rule_under_test,case_notes,actual_class,fired_rules
T-1126,V005,2025-01-01T10:55:46,860.73,INVOICE,INV-70126,False,,,,,,NO_FLAG,
T-1366,V015,2025-01-01T14:58:00,995.44,INVOICE,INV-70366,False,,,,,,NO_FLAG,
T-1417,V016,2025-01-02T11:38:37,4970.12,INVOICE,INV-70417,False,,,,,,FLAG,R2
T-1478,V019,2025-01-06T14:21:42,108.47,INVOICE,INV-70478,False,,,,,,NO_FLAG,
T-1412,V016,2025-01-07T13:38:51,7102.31,INVOICE,INV-70412,False,,,,,,NO_FLAG,
T-1171,V007,2025-01-07T14:28:14,833.29,INVOICE,INV-70171,False,,,,,,NO_FLAG,
T-1463,V019,2025-01-07T15:53:30,67.7,INVOICE,INV-70463,False,,,,,,NO_FLAG,
T-1068,V002,2025-01-08T09:43:04,7802.92,INVOICE,INV-70068,False,,,,,,NO_FLAG,
T-1077,V003,2025-01-08T10:06:34,3155.33,INVOICE,INV-70077,False,,,,,,NO_FLAG,
T-1362,V014,2025-01-08T10:37:19,20560.46,INVOICE,INV-70362,False,,,,,,REVIEW,R3
T-1136,V005,2025-01-08T11:13:06,2332.38,INVOICE,INV-70136,False,,,,,,NO_FLAG,
T-1179,V007,2025-01-09T10:46:39,834.16,INVOICE,INV-70179,False,,,,,,NO_FLAG,
T-1050,V002,2025-01-09T10:47:18,13116.5,INVOICE,INV-70050,False,,,,,,NO_FLAG,
T-1021,V001,2025-01-09T14:09:11,348.15,INVOICE,INV-70021,False,,,,,,NO_FLAG,
T-1311,V011,2025-01-10T13:57:49,2381.77,INVOICE,INV-70311,False,,,,,,NO_FLAG,
T-1393,V015,2025-01-11T15:24:49,1147.61,INVOICE,INV-70393,False,,,,,,NO_FLAG,
T-1392,V015,2025-01-12T11:21:37,891.2,INVOICE,INV-70392,False,,,,,,NO_FLAG,
T-1069,V002,2025-01-13T10:56:09,9220.14,INVOICE,INV-70069,False,,,,,,NO_FLAG,
T-1302,V011,2025-01-13T16:00:18,1746.44,INVOICE,INV-70302,False,,,,,,NO_FLAG,
T-1381,V015,2025-01-14T14:17:37,961.13,INVOICE,INV-70381,False,,,,,,NO_FLAG,
T-1244,V008,2025-01-15T10:23:28,2358.92,INVOICE,INV-70244,False,,,,,,NO_FLAG,
T-1108,V005,2025-01-15T15:27:10,1414.0,INVOICE,INV-70108,False,,,,,,NO_FLAG,
T-1224,V008,2025-01-15T16:19:55,2174.81,INVOICE,INV-70224,False,,,,,,NO_FLAG,
T-1341,V012,2025-01-16T13:44:01,10025.87,INVOICE,INV-70341,False,,,,,,REVIEW,R3
T-1495,V020,2025-01-16T15:27:46,3318.23,INVOICE,INV-70495,False,,,,,,NO_FLAG,
T-1261,V009,2025-01-17T11:40:58,4422.31,INVOICE,INV-70261,False,,,,,,NO_FLAG,
T-1141,V005,2025-01-17T14:54:30,514.64,INVOICE,INV-70141,False,,,,,,NO_FLAG,
T-1220,V008,2025-01-20T14:37:31,3081.97,INVOICE,INV-70220,False,,,,,,NO_FLAG,
T-1475,V019,2025-01-21T09:35:08,195.14,INVOICE,INV-70475,False,,,,,,NO_FLAG,
T-1424,V017,2025-01-21T10:09:13,2674.93,INVOICE,INV-70424,False,,,,,,NO_FLAG,
T-1092,V004,2025-01-22T10:23:51,4150.63,INVOICE,INV-70092,False,,,,,,NO_FLAG,
T-1468,V019,2025-01-22T11:48:48,258.5,INVOICE,INV-70468,False,,,,,,NO_FLAG,
T-1283,V010,2025-01-23T11:31:08,352.2,INVOICE,INV-70283,False,,,,,,NO_FLAG,
T-1365,V015,2025-01-24T11:18:05,526.09,INVOICE,INV-70365,False,,,,,,NO_FLAG,
T-1084,V003,2025-01-24T15:40:05,3132.96,INVOICE,INV-70084,False,,,,,,NO_FLAG,
T-1400,V015,2025-01-25T12:00:00,499.05,INVOICE,INV-70400,False,,,,,,NO_FLAG,
T-1175,V007,2025-01-27T13:01:25,318.64,INVOICE,INV-70175,False,,,,,,NO_FLAG,
T-1057,V002,2025-01-27T14:31:50,5708.34,INVOICE,INV-70057,False,,,,,,NO_FLAG,
T-1160,V006,2025-01-27T14:42:08,11662.12,INVOICE,INV-70160,False,,,,,,NO_FLAG,
T-1288,V010,2025-01-29T08:58:59,225.29,INVOICE,INV-70288,False,,,,,,NO_FLAG,
T-1223,V008,2025-01-29T09:47:03,1762.62,INVOICE,INV-70223,False,,,,,,NO_FLAG,
T-1025,V001,2025-01-29T10:07:08,58.99,INVOICE,INV-70025,False,,,,,,FLAG,R1
T-1023,V001,2025-01-30T11:06:04,484.89,INVOICE,INV-70023,False,,,,,,NO_FLAG,
T-1409,V015,2025-02-01T11:56:21,1038.72,INVOICE,INV-70409,False,,,,,,NO_FLAG,
T-1372,V015,2025-02-03T14:26:20,1347.66,INVOICE,INV-70372,False,,,,,,NO_FLAG,
T-1045,V001,2025-02-04T08:47:25,336.84,INVOICE,INV-70045,False,,,,,,NO_FLAG,
T-1074,V003,2025-02-04T10:46:32,2875.11,INVOICE,INV-70074,False,,,,,,NO_FLAG,
T-1295,V010,2025-02-05T10:01:39,259.98,INVOICE,INV-70295,False,,,,,,NO_FLAG,
T-1264,V009,2025-02-05T14:05:25,4611.48,INVOICE,INV-70264,False,,,,,,NO_FLAG,
T-1358,V014,2025-02-07T15:15:21,10357.42,INVOICE,INV-70358,False,,,,,,REVIEW,R3
T-1118,V005,2025-02-07T15:17:15,684.39,INVOICE,INV-70118,False,,,,,,NO_FLAG,
T-1388,V015,2025-02-08T10:50:39,848.54,INVOICE,INV-70388,False,,,,,,NO_FLAG,
T-1402,V015,2025-02-08T14:44:37,1060.8,INVOICE,INV-70402,False,,,,,,NO_FLAG,
T-1139,V005,2025-02-10T13:59:52,1319.06,INVOICE,INV-70139,False,,,,,,NO_FLAG,
T-1281,V010,2025-02-11T08:31:59,413.87,INVOICE,INV-70281,False,,,,,,NO_FLAG,
T-1444,V018,2025-02-11T14:49:30,1310.87,INVOICE,INV-70444,False,,,,,,NO_FLAG,
T-1127,V005,2025-02-12T11:59:39,923.2,INVOICE,INV-70127,False,,,,,,NO_FLAG,
T-1165,V007,2025-02-13T14:28:00,657.79,INVOICE,INV-70165,False,,,,,,NO_FLAG,
T-1044,V001,2025-02-14T12:14:30,246.82,INVOICE,INV-70044,False,,,,,,NO_FLAG,
T-1250,V008,2025-02-14T13:49:46,1728.87,INVOICE,INV-70250,False,,,,,,NO_FLAG,
T-1428,V017,2025-02-14T14:12:34,550.04,INVOICE,INV-70428,False,,,,,,NO_FLAG,
T-1120,V005,2025-02-18T10:07:49,354.0,INVOICE,INV-70120,False,,,,,,NO_FLAG,
T-1145,V006,2025-02-18T11:16:18,27153.18,INVOICE,INV-70145,False,,,,,,FLAG,R1
T-1416,V016,2025-02-18T14:30:45,10181.02,INVOICE,INV-70416,False,,,,,,NO_FLAG,
T-1075,V003,2025-02-19T09:54:41,2991.04,INVOICE,INV-70075,False,,,,,,NO_FLAG,
T-1262,V009,2025-02-19T10:22:21,7505.77,INVOICE,INV-70262,False,,,,,,NO_FLAG,
T-1315,V011,2025-02-19T10:50:12,1522.28,INVOICE,INV-70315,False,,,,,,NO_FLAG,
T-1367,V015,2025-02-21T09:40:46,679.34,INVOICE,INV-70367,False,,,,,,NO_FLAG,
